オーダーID,利用者ID,利用者氏名,利用者区分,受付番号,決済ステータス,決済金額,備考2,氏名
ORD-KI10006302WM-0046,U07046,山本 明,優待,R400138,決済済,5530,受付/広島オンUW56-20046/確認済,山本 明
ORD-RL10006439BX-0047,U07047,中村 誠,法人,R400141,決済済,5585,受付/高松オンVX57-20047/確認済,中村 誠
ORD-YO10006576GI-0048,U07048,小林 舞,一般,R400144,決済済,5640,受付/東京オンWY58-20048/確認済,小林 舞
ORD-FR10006713LT-0049,U07049,加藤 涼,優待,R400147,決済済,5695,受付/大阪オンXZ59-20049/確認済,加藤 涼
ORD-MU10006850QE-0050,U07050,佐藤 一郎,法人,R400150,未決済,5750,受付/名古屋オンYB60-20050/確認済,佐藤 一郎
ORD-TX10006987VP-0051,U07051,鈴木 花子,一般,R400153,未決済,5805,受付/福岡オンZC61-20051/確認済,鈴木 花子
ORD-AA10007124AA-0052,U07052,高橋 次郎,優待,R400156,未決済,5860,受付/札幌オンAD62-20052/確認済,高橋 次郎
ORD-HD10007261FL-0053,U07053,田中 三郎,法人,R400159,未決済,5915,受付/仙台オンBE63-20053/確認済,田中 三郎
ORD-OG10007398KW-0054,U07054,伊藤 良子,一般,R400162,未決済,5970,受付/広島オンCF64-20054/確認済,伊藤 良子
ORD-VJ10007535PH-0055,U07055,渡辺 健,優待,R400165,未決済,6025,受付/高松オンDG65-20055/確認済,渡辺 健
ORD-CM10007672US-0056,U07056,山本 明,法人,R400168,未決済,6080,受付/東京オンEH66-20056/確認済,山本 明
ORD-JP10007809ZD-0057,U07057,中村 誠,一般,R400171,未決済,6135,受付/大阪オンFI67-20057/確認済,中村 誠
ORD-QS10007946EO-0058,U07058,小林 舞,優待,R400174,未決済,6190,受付/名古屋オンGJ68-20058/確認済,小林 舞
ORD-XV10008083JZ-0059,U07059,加藤 涼,法人,R400177,未決済,6245,受付/福岡オンHK69-20059/確認済,加藤 涼
ORD-EY10008220OK-0060,U07060,佐藤 一郎,一般,R400180,決済済,6300,受付/札幌オンIL70-20060/確認済,佐藤 一郎
ORD-LB10008357TV-0061,U07061,鈴木 花子,優待,R400183,決済済,6355,受付/仙台オンJM71-20061/確認済,鈴木 花子
ORD-SE10008494YG-0062,U07062,高橋 次郎,法人,R400186,決済済,6410,受付/広島オンKN72-20062/確認済,高橋 次郎
ORD-ZH10008631DR-0063,U07063,田中 三郎,一般,R400189,決済済,6465,受付/高松オンLO73-20063/確認済,田中 三郎
ORD-GK10008768IC-0064,U07064,伊藤 良子,優待,R400192,決済済,6520,受付/東京オンMP74-20064/確認済,伊藤 良子
ORD-NN10008905NN-0065,U07065,渡辺 健,法人,R400195,決済済,6575,受付/大阪オンNQ75-20065/確認済,渡辺 健
ORD-UQ10009042SY-0066,U07066,山本 明,一般,R400198,決済済,6630,受付/名古屋オンOR76-20066/確認済,山本 明
ORD-BT10009179XJ-0067,U07067,中村 誠,優待,R400201,決済済,6685,受付/福岡オンPS77-20067/確認済,中村 誠
ORD-IW10009316CU-0068,U07068,小林 舞,法人,R400204,決済済,6740,受付/札幌オンQT78-20068/確認済,小林 舞
ORD-PZ10009453HF-0069,U07069,加藤 涼,一般,R400207,決済済,6795,受付/仙台オンRU79-20069/確認済,加藤 涼
ORD-WC10009590MQ-0070,U07070,佐藤 一郎,優待,R400210,決済済,6850,受付/広島オンSV80-20070/確認済,佐藤 一郎
ORD-DF10009727RB-0071,U07071,鈴木 花子,法人,R400213,決済済,6905,受付/高松オンTW81-20071/確認済,鈴木 花子
ORD-KI10009864WM-0072,U07072,高橋 次郎,一般,R400216,決済済,6960,受付/東京オンUX82-20072/確認済,高橋 次郎
ORD-RL10010001BX-0073,U07073,田中 三郎,優待,R400219,決済済,7015,受付/大阪オンVY83-20073/確認済,田中 三郎
ORD-YO10010138GI-0074,U07074,伊藤 良子,法人,R400222,決済済,7070,受付/名古屋オンWZ84-20074/確認済,伊藤 良子
ORD-FR10010275LT-0075,U07075,渡辺 健,一般,R400225,決済済,7125,受付/福岡オンXB85-20075/確認済,渡辺 健
ORD-MU10010412QE-0076,U07076,山本 明,優待,R400228,決済済,7180,受付/札幌オンYC86-20076/確認済,山本 明
ORD-TX10010549VP-0077,U07077,中村 誠,法人,R400231,決済済,7235,受付/仙台オンZD87-20077/確認済,中村 誠
ORD-AA10010686AA-0078,U07078,小林 舞,一般,R400234,決済済,7290,受付/広島オンAE88-20078/確認済,小林 舞
ORD-HD10010823FL-0079,U07079,加藤 涼,優待,R400237,決済済,7345,受付/高松オンBF89-20079/確認済,加藤 涼
ORD-ZZ20000080ZZ-0080,U07080,佐藤 一郎,法人,R400240,決済済,7400,受付/東京オンZZ99-90080/確認済,佐藤 一郎
ORD-ZZ20000081ZZ-0081,U07081,鈴木 花子,一般,R400243,決済済,7455,受付/東京オンZZ99-90081/確認済,鈴木 花子
ORD-ZZ20000082ZZ-0082,U07082,高橋 次郎,優待,R400246,決済済,7510,受付/東京オンZZ99-90082/確認済,高橋 次郎
ORD-ZZ20000083ZZ-0083,U07083,田中 三郎,法人,R400249,決済済,7565,受付/東京オンZZ99-90083/確認済,田中 三郎
ORD-ZZ20000084ZZ-0084,U07084,伊藤 良子,一般,R400252,決済済,7620,受付/東京オンZZ99-90084/確認済,伊藤 良子
ORD-ZZ20000085ZZ-0085,U07085,渡辺 健,優待,R400255,決済済,7675,受付/東京オンZZ99-90085/確認済,渡辺 健
ORD-ZZ20000086ZZ-0086,U07086,山本 明,法人,R400258,決済済,7730,受付/東京オンZZ99-90086/確認済,山本 明
ORD-ZZ20000087ZZ-0087,U07087,中村 誠,一般,R400261,決済済,7785,受付/東京オンZZ99-90087/確認済,中村 誠
ORD-ZZ20000088ZZ-0088,U07088,小林 舞,優待,R400264,決済済,7840,受付/東京オンZZ99-90088/確認済,小林 舞
ORD-ZZ20000089ZZ-0089,U07089,加藤 涼,法人,R400267,決済済,7895,受付/東京オンZZ99-90089/確認済,加藤 涼
ORD-ZZ20000090ZZ-0090,U07090,佐藤 一郎,一般,R400270,決済済,7950,受付/東京オンZZ99-90090/確認済,佐藤 一郎
ORD-ZZ20000091ZZ-0091,U07091,鈴木 花子,優待,R400273,決済済,8005,受付/東京オンZZ99-90091/確認済,鈴木 花子
ORD-ZZ20000092ZZ-0092,U07092,高橋 次郎,法人,R400276,決済済,8060,受付/東京オンZZ99-90092/確認済,高橋 次郎
ORD-ZZ20000093ZZ-0093,U07093,田中 三郎,一般,R400279,決済済,8115,受付/東京オンZZ99-90093/確認済,田中 三郎
ORD-ZZ20000094ZZ-0094,U07094,伊藤 良子,優待,R400282,決済済,8170,受付/東京オンZZ99-90094/確認済,伊藤 良子
ORD-ZZ20000095ZZ-0095,U07095,渡辺 健,法人,R400285,決済済,8225,受付/東京オンZZ99-90095/確認済,渡辺 健
ORD-ZZ20000096ZZ-0096,U07096,山本 明,一般,R400288,決済済,8280,受付/東京オンZZ99-90096/確認済,山本 明
ORD-ZZ20000097ZZ-0097,U07097,中村 誠,優待,R400291,決済済,8335,受付/東京オンZZ99-90097/確認済,中村 誠
ORD-ZZ20000098ZZ-0098,U07098,小林 舞,法人,R400294,決済済,8390,受付/東京オンZZ99-90098/確認済,小林 舞
ORD-ZZ20000099ZZ-0099,U07099,加藤 涼,一般,R400297,決済済,8445,受付/東京オンZZ99-90099/確認済,加藤 涼
ORD-ZZ19999999ZZ-0100,U09999,新規 五郎,一般,R499999,決済済,5000,受付/新潟オンZZ99-90000/確認済,新規 五郎
